"","location","recv","TagCode","day","count","beacon","recv_start"
"55","BeniciaRT_01",17128,"FA2A",2018-06-19,1334,"FA2A",2018-04-25 16:54:23
"56","BeniciaRT_01",17128,"FA2A",2018-06-20,1321,"FA2A",2018-04-25 16:54:23
"57","BeniciaRT_01",17128,"FA2A",2018-06-21,1324,"FA2A",2018-04-25 16:54:23
"58","BeniciaRT_01",17128,"FA2A",2018-06-22,1323,"FA2A",2018-04-25 16:54:23
"59","BeniciaRT_01",17128,"FA2A",2018-06-23,1320,"FA2A",2018-04-25 16:54:23
"60","BeniciaRT_01",17128,"FA2A",2018-06-24,1323,"FA2A",2018-04-25 16:54:23
"61","BeniciaRT_01",17128,"FA2A",2018-06-25,1327,"FA2A",2018-04-25 16:54:23
"62","BeniciaRT_01",17128,"FA2A",2018-06-26,1327,"FA2A",2018-04-25 16:54:23
"63","BeniciaRT_01",17128,"FA2A",2018-06-27,1292,"FA2A",2018-04-25 16:54:23
"64","BeniciaRT_01",17128,"FA2A",2018-06-28,1324,"FA2A",2018-04-25 16:54:23
"65","BeniciaRT_01",17128,"FA2A",2018-06-29,1324,"FA2A",2018-04-25 16:54:23
"66","BeniciaRT_01",17128,"FA2A",2018-06-30,1328,"FA2A",2018-04-25 16:54:23
"67","BeniciaRT_01",17128,"FA2A",2018-07-01,1325,"FA2A",2018-04-25 16:54:23
"68","BeniciaRT_01",17128,"FA2A",2018-07-02,1328,"FA2A",2018-04-25 16:54:23
"69","BeniciaRT_01",17128,"FA2A",2018-07-03,1326,"FA2A",2018-04-25 16:54:23
"70","BeniciaRT_01",17128,"FA2A",2018-07-04,1330,"FA2A",2018-04-25 16:54:23
"71","BeniciaRT_01",17128,"FA2A",2018-07-05,1350,"FA2A",2018-04-25 16:54:23
"72","BeniciaRT_01",17128,"FA2A",2018-07-06,1343,"FA2A",2018-04-25 16:54:23
"73","BeniciaRT_01",17128,"FA2A",2018-07-07,1327,"FA2A",2018-04-25 16:54:23
"74","BeniciaRT_01",17128,"FA2A",2018-07-08,1322,"FA2A",2018-04-25 16:54:23
